indicator_id,year_month,value,source_note
nr_rubber,2026-07,231.50,SICOM TSR20 월말 (작업지시 확인값)
nr_rubber,2026-08,234.50,SICOM TSR20 월내최종 (작업지시 확인값)
cpo,2026-07,4480,Bursa FCPO 월말 (작업지시 확인값)
cpo,2026-08,4961,Bursa FCPO 월내최종 (MPOC 일별가 08-20 RM4961)
nickel,2026-07,17100,LME Nickel cash 07-31 (Westmetall)
nickel,2026-08,17044,LME Nickel 월내최종 (Trading Economics 08-21 17043.63)
scfi,2026-07,3355.24,SSE SCFI Composite 월말 (작업지시 확인값)
scfi,2026-08,3409.63,SSE SCFI Composite 월내최종 (작업지시 확인값)
bi_rate,2026-07,5.75,BI-Rate 동결 (작업지시 확인값)
bi_rate,2026-08,5.75,BI-Rate 동결 (작업지시 확인값)
idn_inflation,2026-07,2.88,BPS YoY CPI 2026-07 (2.88% · 08-01 발표)
idn_pmi,2026-02,53.8,S&P Global Indonesia Manufacturing PMI 2026-02 (근2년 최고)
carbon_black,2026-01,1080,웹 리서치 근사치(FOB Qingdao 추세 보간: Q1 유럽/중국 상승 추세 · 3월 1120 앵커)
carbon_black,2026-02,1100,웹 리서치 근사치(FOB Qingdao 추세 보간: 3월 1120 앵커)
carbon_black,2026-04,1035,웹 리서치 근사치(ChemAnalyst 중국 4월 평균 RMB 8.38/kg VAT 제외 환산)
carbon_black,2026-05,1000,웹 리서치 근사치(ChemAnalyst 중국 5월 평균 RMB 8.09/kg VAT 제외 환산 · 6월 1006 정합)
synthetic_rubber,2026-01,1670,웹 리서치 근사치(CFR SE Asia 추세 보간: 중국 BD 1월 1183→3월 1305 비율 · 3월 1840 앵커)
synthetic_rubber,2026-02,1750,웹 리서치 근사치(CFR SE Asia 추세 보간: 1월↔3월 중간값)
synthetic_rubber,2026-04,2000,웹 리서치 근사치(CFR SE Asia 추세 보간: 3월 1840↔6월 2400)
synthetic_rubber,2026-05,2200,웹 리서치 근사치(CFR SE Asia 추세 보간: 3월 1840↔6월 2400)
steel_wire,2026-01,810,웹 리서치 근사치(FOB Qingdao 시장 추정 보간: 3월 820↔6월 835 · 연초 안정)
steel_wire,2026-02,815,웹 리서치 근사치(FOB Qingdao 시장 추정 보간: 3월 820 앵커)
steel_wire,2026-04,825,웹 리서치 근사치(FOB Qingdao 시장 추정 보간: 3월 820↔6월 835)
steel_wire,2026-05,830,웹 리서치 근사치(FOB Qingdao 시장 추정 보간: 3월 820↔6월 835)
