indicator_id,year_month,value,unit,quality,source_note
idn_pmi,2021-09,52.2,Index,실측,take-profit.org PMI history (release 2021-10-01)
idn_pmi,2021-10,57.2,Index,실측,Trading Economics · Databoks (역대 최고치)
idn_pmi,2021-11,53.9,Index,실측,Databoks (ASEAN 최고 확장)
idn_pmi,2021-12,53.5,Index,실측,Jakarta Globe / IHS Markit press
idn_pmi,2022-01,53.7,Index,실측,take-profit.org · Databoks
idn_pmi,2022-02,51.2,Index,실측,take-profit.org · Databoks
idn_pmi,2022-03,51.3,Index,실측,take-profit.org PMI history
idn_pmi,2022-04,51.9,Index,실측,take-profit.org · Databoks
idn_pmi,2022-05,50.8,Index,실측,take-profit.org PMI history
idn_pmi,2022-06,50.2,Index,실측,take-profit.org PMI history
idn_pmi,2022-07,51.3,Index,실측,take-profit.org PMI history
idn_pmi,2022-08,51.7,Index,실측,take-profit.org PMI history
idn_pmi,2022-09,53.7,Index,실측,take-profit.org PMI history
idn_pmi,2022-10,51.8,Index,실측,take-profit.org PMI history
idn_pmi,2022-11,50.3,Index,실측,take-profit.org PMI history
idn_pmi,2022-12,50.9,Index,실측,take-profit.org PMI history
idn_pmi,2023-01,51.3,Index,실측,take-profit.org PMI history
idn_pmi,2023-02,51.2,Index,실측,take-profit.org PMI history
idn_pmi,2023-03,51.9,Index,실측,take-profit.org · Databoks
idn_pmi,2023-04,52.7,Index,실측,take-profit.org · Databoks
idn_pmi,2023-05,50.3,Index,실측,take-profit.org PMI history
idn_pmi,2023-06,52.5,Index,실측,take-profit.org · Databoks
idn_pmi,2023-07,53.3,Index,실측,take-profit.org PMI history
idn_pmi,2023-08,53.9,Index,실측,take-profit.org PMI history
idn_pmi,2023-09,52.3,Index,실측,take-profit.org PMI history
idn_pmi,2023-10,51.5,Index,실측,"ANTARA (Okt 2023 51,5)"
idn_pmi,2023-11,51.7,Index,실측,"Databoks (Nov 51,7)"
idn_pmi,2023-12,52.2,Index,실측,"Databoks (Des 52,2)"
idn_pmi,2024-01,52.9,Index,실측,"Databoks (Jan 52,9)"
idn_pmi,2024-02,52.7,Index,실측,ANTARA/Databoks (Mar 비교치)
idn_pmi,2024-03,54.2,Index,실측,ANTARA (2.5년 최고)
idn_pmi,2024-04,52.9,Index,실측,Databoks (Eid 연휴 둔화)
idn_pmi,2024-05,52.1,Index,실측,CNBC Indonesia
idn_pmi,2024-06,50.7,Index,실측,Bisnis.com
idn_pmi,2024-07,49.3,Index,실측,Kontan (2021-08 이후 첫 수축)
idn_pmi,2024-08,48.9,Index,실측,Bisnis.com
idn_pmi,2024-09,49.2,Index,실측,Bisnis.com
idn_pmi,2024-10,49.2,Index,실측,Dataindonesia · Kompas
idn_pmi,2024-11,49.6,Index,실측,Kontan (Des 비교치)
idn_pmi,2024-12,51.2,Index,실측,Kontan
idn_pmi,2025-01,51.9,Index,실측,Investing.com event 1096 history
idn_pmi,2025-02,53.6,Index,실측,Investing.com event 1096 history
idn_pmi,2025-03,52.4,Index,실측,Investing.com event 1096 history
idn_pmi,2025-04,46.7,Index,실측,Investing.com event 1096 history
idn_pmi,2025-05,47.4,Index,실측,Investing.com event 1096 history
idn_pmi,2025-06,46.9,Index,실측,Investing.com event 1096 history
idn_pmi,2025-07,49.2,Index,실측,Investing.com event 1096 history
idn_pmi,2025-08,51.5,Index,실측,Investing.com event 1096 history
idn_pmi,2025-09,50.4,Index,실측,Investing.com event 1096 history
idn_pmi,2025-10,51.2,Index,실측,Investing.com event 1096 · news
idn_pmi,2025-11,53.3,Index,실측,Investing.com news (2월 이후 최고)
idn_pmi,2025-12,51.2,Index,실측,Investing.com event 1096 history
idn_pmi,2026-01,52.6,Index,실측,Investing.com event 1096 history
idn_pmi,2026-02,53.8,Index,실측,Investing.com event 1096 (anchor 일치)
idn_pmi,2026-03,50.1,Index,실측,Investing.com event 1096 history
idn_pmi,2026-04,49.1,Index,실측,Trading Economics · Investing.com
idn_pmi,2026-05,50.0,Index,실측,Trading Economics · Investing.com
idn_pmi,2026-06,46.9,Index,실측,Trading Economics · Investing.com
idn_pmi,2026-07,50.2,Index,실측,Trading Economics · Investing.com
