ï»¿1. TARGET,,,,,,,,,,,,,,,,,,,
êµ¬ ë¶,,Y2022,vs Y2022,Y2023,,,,,,,,,,,,,,,
,,Monthly ave.,Target(%),Monthly ave.,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Sum,,
Qty,Tire," 7,520 ",106.4%," 8,000 "," 7,100 "," 7,400 "," 7,900 "," 5,200 "," 7,800 "," 8,100 "," 8,500 "," 8,700 "," 8,800 "," 8,900 "," 9,100 "," 8,500 "," 96,000 ",,
,OTR, 32 ,,,,,,,,,,,,,,,,,
(pcs),Solid," 1,016 ",127.9%," 1,300 "," 1,200 "," 1,200 "," 1,400 ", 800 ," 1,300 "," 1,300 "," 1,300 "," 1,500 "," 1,500 "," 1,500 "," 1,400 "," 1,200 "," 15,600 ",,
,Tube," 25,429 ",118.0%," 30,000 "," 28,000 "," 28,000 "," 30,000 "," 25,000 "," 30,000 "," 31,000 "," 31,000 "," 32,000 "," 33,000 "," 33,000 "," 33,000 "," 26,000 "," 360,000 ",,
,Flap," 11,934 ",117.3%," 14,000 "," 13,000 "," 13,000 "," 14,000 "," 9,000 "," 14,000 "," 15,000 "," 15,000 "," 16,000 "," 16,000 "," 17,000 "," 16,000 "," 10,000 "," 168,000 ",,
AMT,Tire," 1,379,006 ",109.1%," 1,504,422 "," 1,334,661 "," 1,391,690 "," 1,484,970 "," 978,338 "," 1,466,844 "," 1,523,873 "," 1,597,703 "," 1,635,280 "," 1,654,731 "," 1,674,183 "," 1,711,760 "," 1,599,028 "," 18,053,061 ",,
,OTR, - ,,,,,,,,,,,,,,,,,
(USD),Solid," 107,185 ",128.8%," 138,054 "," 127,434 "," 127,434 "," 148,673 "," 84,956 "," 138,054 "," 138,054 "," 138,054 "," 159,293 "," 159,293 "," 159,293 "," 148,673 "," 127,434 "," 1,656,645 ",,
,Tube," 310,641 ",119.7%," 371,773 "," 346,988 "," 346,988 "," 371,773 "," 309,811 "," 371,773 "," 384,165 "," 384,165 "," 396,558 "," 408,950 "," 408,950 "," 408,950 "," 322,203 "," 4,461,274 ",,
,Flap," 40,737 ",117.0%," 47,653 "," 44,249 "," 44,249 "," 47,653 "," 30,634 "," 47,653 "," 51,056 "," 51,056 "," 54,460 "," 54,460 "," 57,864 "," 54,460 "," 34,038 "," 571,832 ",,
,Total," 1,883,502 ",109.5%," 2,061,901 "," 1,853,332 "," 1,910,361 "," 2,053,069 "," 1,403,739 "," 2,024,323 "," 2,097,148 "," 2,170,978 "," 2,245,591 "," 2,277,434 "," 2,300,290 "," 2,323,844 "," 2,082,703 "," 24,742,812 ",,
ê²½ìì´ìµ,USD," 118,153 ",103.0%," 121,749 "," 100,586 "," 107,129 "," 119,954 "," 57,054 "," 117,719 "," 125,130 "," 132,136 "," 138,658 "," 141,956 "," 144,580 "," 147,878 "," 128,211 "," 1,460,991 ",,
,,,,,,,,,,,,,,,6.4%,6.2%,5.9%,,
2. ACHIEVEMENT,,,,,,,,,,,,,,,,,,,
êµ¬ ë¶,,Y2022,vs Y2023,Y2023,,,,,,,,,,,,,,,
,,Monthly ave.,Achiv.(%),Monthly ave.,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Sum,,
Qty,LTR/TBR, `` ,#VALUE!," 5,576 "," 7,147 "," 7,472 "," 3,022 ", 545 , 262 , 132 , 223 ," 7,200 "," 5,327 "," 12,327 "," 9,979 "," 13,271 "," 66,907 ",,
,OTR,,, 20 , 2 , - , 8 , - , 125 ,, 3 ,, 4 ,,,, 142 ,,
,Solid," 1,016 ",122.9%," 1,249 "," 1,329 "," 1,372 "," 1,405 ", 861 ," 1,333 "," 1,380 "," 1,330 "," 1,294 "," 1,179 "," 1,285 "," 1,128 "," 1,090 "," 14,986 ",,
(pcs),Tube," 25,429 ",101.8%," 25,891 "," 30,659 "," 24,394 "," 13,605 "," 17,707 "," 17,251 "," 29,567 "," 18,366 "," 30,153 "," 29,884 "," 37,015 "," 37,022 "," 25,070 "," 310,693 ",,
,Flap," 11,934 ",123.1%," 14,689 "," 14,557 "," 11,587 "," 7,606 "," 7,386 "," 7,663 "," 10,750 "," 8,161 "," 17,498 "," 14,919 "," 25,451 "," 25,508 "," 25,180 "," 176,266 ",,
Qty,LTR/TBR," 1,379,006 ",71.1%," 980,236 "," 1,173,848 "," 1,259,403 "," 415,627 "," 102,943 "," 80,983 "," 21,988 "," 35,363 "," 1,485,820 "," 1,113,156 "," 1,921,671 "," 1,738,689 "," 2,413,342 "," 11,762,833 ",,
,OTR,,," 24,423 "," 9,075 ", - ," 70,182 ", - ," 58,310 ",," 12,608 ",," 20,785 ",,,," 170,960 ",,
,Solid," 107,185 ",121.4%," 130,095 "," 128,536 "," 154,149 "," 148,734 "," 94,136 "," 140,879 "," 140,230 "," 141,471 "," 135,736 "," 116,401 "," 145,588 "," 111,255 "," 104,028 "," 1,561,144 ",,
(USD),Tube," 310,641 ",108.5%," 337,096 "," 367,087 "," 332,745 "," 179,316 "," 239,543 "," 211,618 "," 388,097 "," 246,088 "," 408,319 "," 388,223 "," 464,170 "," 480,466 "," 339,483 "," 4,045,155 ",,
,Flap," 40,737 ",131.0%," 53,360 "," 50,233 "," 40,541 "," 28,282 "," 27,368 "," 28,452 "," 41,533 "," 28,439 "," 68,169 "," 58,349 "," 88,724 "," 89,281 "," 90,949 "," 640,321 ",,
ì¬ë¬´ë§¤ì¶,Total," 1,883,502 ",81.4%," 1,533,179 "," 1,728,887 "," 1,789,343 "," 842,901 "," 466,789 "," 527,974 "," 610,166 "," 507,319 "," 2,128,276 "," 1,749,476 "," 2,664,109 "," 2,431,953 "," 2,950,957 "," 18,398,150 ",,
íê´ë¹,USD," 243,671 ",53.7%," 130,914 "," 179,907 "," 193,576 "," 122,158 "," 90,949 "," 78,650 "," 86,210 "," 109,686 "," 236,943 "," 113,782 "," 117,986 "," 109,063 "," 132,055 "," 1,570,965 ",,
ììì´ìµ,,,," 106,351 "," 122,035 "," 159,395 "," 33,702 ","-30,233 ","-11,245 ","-26,794 ","-49,449 "," 169,460 "," 121,334 "," 274,570 "," 192,071 "," 321,369 "," 1,276,216 ",,
ììì´ìµë¥ ,,,,6.9%,7.1%,8.9%,4.0%,-6.5%,-2.1%,-4.4%,-9.7%,8.0%,6.9%,10.3%,7.9%,10.9%,6.9%,,
ê²½ìì´ìµ,USD," 118,153 ",94.5%," 111,690 "," 143,161 "," 185,385 "," 25,044 ","-26,040 ","-9,032 ","-26,186 ","-48,195 "," 171,012 "," 129,306 "," 276,397 "," 196,524 "," 322,900 "," 1,340,276 ",,
,,6.3%,,7.3%,8.3%,10.4%,3.0%,-5.6%,-1.7%,-4.3%,-9.5%,8.0%,7.4%,10.4%,8.1%,10.9%,7.3%,,
3. ëª©í ë¬ì±ë¥ ,,,,,,,,,,,,,,,,,,,
êµ¬ ë¶,,2020ë,ì ëëë¹,2021ë,,,,,,,,,,,,,,,
,,ìíê· ,ì¦ê°ì¨,ìíê· ,1ì,2ì,3ì,4ì,5ì,6ì,7ì,8ì,9ì,10ì,11ì,12ì,í©ê³,,
íë§¤ê¸ì¡,íì´ì´,100%,-34.8%,65%,88%,90%,28%,11%,6%,1%,2%,91%,67%,115%,102%,151%,65%,,
(USD),í ë¸,100%,-9.3%,91%,106%,96%,48%,77%,57%,101%,64%,103%,95%,114%,117%,105%,91%,,
,í ë©,100%,12.0%,112%,114%,92%,59%,89%,60%,81%,56%,125%,107%,153%,164%,267%,112%,,
,ìë¦¬ë,100%,-5.8%,94%,101%,121%,100%,111%,102%,102%,102%,85%,73%,91%,75%,82%,94%,,
íë§¤ê¸ì¡,USD,100%,-25.6%,74%,93%,94%,41%,33%,26%,29%,23%,95%,77%,116%,105%,142%,74%,,
,,,,,,,,,,,,,,,,,,,
