,1. TARGET,,,,,,,,,,,,,,,,,,,,,,
,구 분,,Y2025,vs Y2025,Y2026,,,,,,,,,,,,,,,,,,
,,,Monthly ave.,Target(%),Monthly ave.,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Sum,,,,,
,Qty,TBR.," 4,938 ",71%," 3,500 "," 4,200 "," 3,300 "," 2,500 "," 5,000 "," 5,000 "," 5,000 "," 5,800 "," 3,400 "," 2,600 "," 1,300 ", 900 ," 3,000 "," 42,000 ",,,,,
,,TBB., 780 ,167%," 1,300 ", 750 , 950 , 450 ," 1,050 "," 1,250 "," 1,450 "," 1,550 "," 1,650 "," 1,750 "," 1,750 "," 1,550 "," 1,450 "," 15,600 ",,,,,
,,OTR, 111 ,180%, 200 , 160 , 130 , 70 , 130 , 150 , 200 , 250 , 310 , 330 , 260 , 220 , 190 ," 2,400 ",,,,,
,,AGR, 178 ,280%, 500 , 500 , 500 , 250 , 400 , 450 , 500 , 600 , 750 , 700 , 650 , 400 , 300 ," 6,000 ",,,,,
,(pcs),IND," 1,362 ",121%," 1,650 "," 1,590 "," 1,950 ", 950 ," 1,360 "," 1,590 "," 1,780 "," 1,970 "," 1,980 "," 2,000 "," 1,810 "," 1,600 "," 1,220 "," 19,800 ",,,,,
,,VUL, 368 ,272%," 1,000 ", 720 , 840 , 600 , 960 , 960 ," 1,080 "," 1,080 "," 1,080 "," 1,080 "," 1,200 "," 1,200 "," 1,200 "," 12,000 ",,,,,
,,Tube," 35,836 ",140%," 50,000 "," 48,000 "," 54,000 "," 42,000 "," 51,000 "," 54,000 "," 57,000 "," 63,000 "," 60,000 "," 48,000 "," 45,000 "," 30,000 "," 48,000 "," 600,000 ",,,,,
,,Flap," 24,399 ",102%," 25,000 "," 26,100 "," 28,900 "," 14,800 "," 25,600 "," 34,100 "," 36,900 "," 39,800 "," 25,600 "," 22,700 "," 19,900 "," 14,200 "," 11,400 "," 300,000 ",,,,,
,AMT,TBR.," 861,578 ",74%," 638,190 "," 765,827 "," 601,722 "," 455,850 "," 911,699 "," 911,699 "," 911,699 "," 1,057,571 "," 619,956 "," 474,084 "," 237,042 "," 164,106 "," 547,020 "," 7,658,274 ",,,,,
,,TBB.," 101,362 ",168%," 170,518 "," 98,376 "," 124,609 "," 59,025 "," 137,726 "," 163,959 "," 190,193 "," 203,309 "," 216,426 "," 229,543 "," 229,543 "," 203,309 "," 190,193 "," 2,046,212 ",,,,,
,,OTR," 60,781 ",125%," 75,784 "," 60,627 "," 49,260 "," 26,524 "," 49,260 "," 56,838 "," 75,784 "," 94,730 "," 117,465 "," 125,044 "," 98,519 "," 83,362 "," 71,995 "," 909,409 ",,,,,
,,AGR," 27,396 ",276%," 75,479 "," 75,479 "," 75,479 "," 37,740 "," 60,383 "," 67,931 "," 75,479 "," 90,575 "," 113,219 "," 105,671 "," 98,123 "," 60,383 "," 45,288 "," 905,751 ",,,,,
,(USD),IND," 150,037 ",114%," 171,207 "," 164,651 "," 203,982 "," 100,770 "," 142,543 "," 164,651 "," 184,805 "," 204,959 "," 205,448 "," 206,425 "," 186,271 "," 165,140 "," 124,832 "," 2,054,479 ",,,,,
,,VUL," 23,729 ",279%," 66,311 "," 47,744 "," 55,701 "," 39,786 "," 63,658 "," 63,658 "," 71,615 "," 71,615 "," 71,615 "," 71,615 "," 79,573 "," 79,573 "," 79,573 "," 795,726 ",,,,,
,,Tube," 474,519 ",133%," 628,846 "," 603,692 "," 679,154 "," 528,231 "," 641,423 "," 679,154 "," 716,885 "," 792,346 "," 754,615 "," 603,692 "," 565,962 "," 377,308 "," 603,692 "," 7,546,155 ",,,,,
,,Flap," 89,502 ",102%," 91,700 "," 95,735 "," 106,005 "," 54,286 "," 93,901 "," 125,079 "," 135,349 "," 145,987 "," 93,901 "," 83,264 "," 72,993 "," 52,086 "," 41,815 "," 1,100,402 ",,,,,
,,Total," 1,789,469 ",107%," 1,918,034 "," 1,912,132 "," 1,895,912 "," 1,302,212 "," 2,100,594 "," 2,232,970 "," 2,361,810 "," 2,661,093 "," 2,192,646 "," 1,899,338 "," 1,568,026 "," 1,185,267 "," 1,704,407 "," 23,016,407 ",,,,,
,판관비,USD," 186,227 ",108%," 200,745 "," 226,842 "," 213,236 "," 169,224 "," 206,625 "," 210,657 "," 214,817 "," 227,024 "," 206,238 "," 196,966 "," 180,607 "," 169,214 "," 187,491 "," 2,408,942 ",,,,,
,영업이익,USD," 53,804 ",112%," 59,995 "," 42,088 "," 43,892 ", 812 ," 85,215 "," 101,469 "," 114,256 "," 146,901 "," 89,823 "," 60,548 "," 22,878 ","-17,670 "," 29,728 "," 719,939 ",,,,,
,경상이익,USD," 43,845 ",125%," 54,995 "," 37,088 "," 38,892 ","-4,188 "," 80,215 "," 96,469 "," 109,256 "," 141,901 "," 84,823 "," 55,548 "," 17,878 ","-22,670 "," 24,728 "," 659,939 ",,,,,
,,,2.5%,,2.9%,1.9%,2.1%,-0.3%,3.8%,4.3%,4.6%,5.3%,3.9%,2.9%,1.1%,-1.9%,1.5%,2.9%,,,,,
,2. ACHIEVEMENT,,,,,,,,,,,,,,,,,,,,,,
,구 분,,Y2025,vs Y2026,Y2026,,,,,,,,,,,,,,,,,,
,,,Monthly ave.,Achiv.(%),Monthly ave.,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Sum,,,,,
,Qty,TBR.," 4,938 ",75%," 3,713 "," 4,046 "," 3,347 "," 3,115 "," 4,707 "," 3,968 "," 3,094 ",,,,,,," 22,277 ",,,1105,720,2250
,,TBB., 780 ,123%, 962 , 747 ," 1,225 ", 692 ," 1,145 "," 1,007 ", 957 ,,,,,,," 5,773 ",,,1488,1240,1088
