series,date,rate,source
bi_rate_decision,2021-02-18,3.50,"bi.go.id sp_234221: BI7DRR -25bp → 3.50% (2021-09 시점 유효 금리)"
bi_rate_decision,2022-08-23,3.75,"BI RDG 2022-08 (+25bp)"
bi_rate_decision,2022-09-22,4.25,"BI RDG 2022-09 (+50bp)"
bi_rate_decision,2022-10-20,4.75,"BI RDG 2022-10 (+50bp)"
bi_rate_decision,2022-11-17,5.25,"BI RDG 2022-11 (+50bp)"
bi_rate_decision,2022-12-22,5.50,"BI RDG 2022-12 (+25bp)"
bi_rate_decision,2023-01-19,5.75,"BI RDG 2023-01 (+25bp)"
bi_rate_decision,2023-10-19,6.00,"BI RDG 2023-10 (+25bp)"
bi_rate_decision,2024-04-24,6.25,"BI RDG 2024-04 (+25bp)"
bi_rate_decision,2024-09-18,6.00,"BI RDG 2024-09 (-25bp)"
bi_rate_decision,2025-01-15,5.75,"BI RDG 2025-01 (-25bp)"
bi_rate_decision,2025-05-21,5.50,"BI RDG 2025-05 (-25bp)"
bi_rate_decision,2025-07-16,5.25,"BI RDG 2025-07 (-25bp)"
bi_rate_decision,2025-08-20,5.00,"BI RDG 2025-08 (-25bp)"
bi_rate_decision,2025-09-17,4.75,"BI RDG 2025-09 (-25bp)"
bi_rate_decision,2026-05-20,5.25,"bi.go.id sp_2810726: BI-Rate +50bp → 5.25%"
bi_rate_decision,2026-06-09,5.50,"BI off-cycle 2026-06-09 (+25bp)"
bi_rate_decision,2026-06-18,5.75,"BI RDG 2026-06-18 (+25bp), 이후 2026-08 까지 동결"
