series,month,value,source
cpo_hr,2021-09,1185.26,"Kemendag siaran pers Periode September 2021 / Permendag 51/2021"
cpo_hr,2021-10,1196.60,"Kemendag siaran pers Periode Oktober 2021 / Permendag 56/2021"
cpo_hr,2021-11,1283.38,"Kemendag siaran pers Periode November 2021"
cpo_hr,2021-12,1365.99,"Kemendag siaran pers Periode Desember 2021 / Permendag 68/2021"
cpo_hr,2022-01,1307.76,"Kemendag siaran pers 28 Des 2021 (gimni.org/harga-cpo)"
cpo_hr,2022-02,1314.78,"Kemendag siaran pers 28 Jan 2022 (gimni.org/harga-cpo)"
cpo_hr,2022-03,1432.24,"Kemendag siaran pers 26 Feb 2022 (gimni.org/harga-cpo)"
cpo_hr,2022-04,1787.50,"Kemendag siaran pers 30 Mar 2022 (gimni.org/harga-cpo)"
cpo_hr,2022-05,1657.39,"Kemendag siaran pers 29 Apr 2022 (gimni.org/harga-cpo)"
cpo_hr,2022-06,1700.12,"Kemendag siaran pers 2 Jun 2022 (gimni.org/harga-cpo)"
cpo_hr,2022-07,1615.83,"Kemendag siaran pers 8 Jul 2022 (gimni.org/harga-cpo)"
cpo_hr,2022-08,872.27,"Kepmendag 1157/2022 · 신규 Permendag 46/2022 체계 첫 기수(8/9-15), 8/1-8 HR 부재"
cpo_hr,2022-09,929.66,"Kepmendag 1207/2022, periode 1-15 Sep (gimni.org/harga-cpo)"
cpo_hr,2022-10,792.19,"Kepmendag 1371/2022 (gimni.org/harga-cpo)"
cpo_hr,2022-11,770.88,"Kepmendag 1460/2022 (gimni.org/harga-cpo)"
cpo_hr,2022-12,824.32,"Kepmendag 1533/2022 (gimni.org/harga-cpo)"
cpo_hr,2023-01,858.96,"Kepmendag 1598/2022, periode 1-15 Jan (gimni.org/harga-cpo)"
cpo_hr,2023-02,879.31,"Kepmendag 114/2023 (gimni.org/harga-cpo)"
cpo_hr,2023-03,889.77,"Kepmendag 542/2023 (gimni.org/harga-cpo)"
cpo_hr,2023-04,898.29,"Kepmendag 889/2023 (gimni.org/harga-cpo)"
cpo_hr,2023-05,955.53,"Kepmendag 940/2023 (gimni.org/harga-cpo)"
cpo_hr,2023-06,811.68,"Kemendag periode 1-15 Jun 2023 (sawitindonesia.com via gimni.org)"
cpo_hr,2023-07,747.23,"Kepmendag 1125/2023 (gimni.org/harga-cpo)"
cpo_hr,2023-08,826.48,"Kepmendag 1304/2023 (gimni.org/harga-cpo)"
cpo_hr,2023-09,805.20,"Kepmendag 1646/2023 (gimni.org/harga-cpo)"
cpo_hr,2023-10,827.37,"Kepmendag 1698/2023 (gimni.org/harga-cpo)"
cpo_hr,2023-11,748.93,"Kepmendag 1831/2023 (gimni.org/harga-cpo)"
cpo_hr,2023-12,795.14,"Kepmendag 1965/2023 (gimni.org/harga-cpo)"
