series,month,value,source
HBA,2021-09,150.03,"ESDM via S&P Global (record high, China demand)"
HBA,2021-10,161.63,"ESDM 보도자료 (hba-oktober-naik-lagi)"
HBA,2021-11,215.01,"ESDM 보도자료 (hba-november +33%)"
HBA,2021-12,159.79,"ESDM 보도자료 (hba-desember-turun)"
HBA,2022-01,158.50,"ESDM 보도자료 (hba-januari-turun)"
HBA,2022-02,188.38,"ESDM via Kontan"
HBA,2022-03,203.69,"ESDM via ANTARA"
HBA,2022-04,288.40,"ESDM via Kontan"
HBA,2022-05,275.64,"ESDM 보도자료 (hba-mei-turun)"
HBA,2022-06,323.91,"ESDM via Kontan (Jul release 비교치)"
HBA,2022-07,319.00,"ESDM via Kontan"
HBA,2022-08,321.59,"ESDM via Kontan"
HBA,2022-09,319.22,"ESDM 보도자료 · ANTARA"
HBA,2022-10,330.97,"ESDM 보도자료 (유럽 발전소 수요)"
HBA,2022-11,308.20,"ESDM Dec-2022 release (Nov 비교치)"
HBA,2022-12,281.48,"ESDM 보도자료 (hba-desember-turun)"
HBA,2023-01,305.21,"ESDM via Tempo"
HBA,2023-02,277.05,"ESDM 보도자료 (hba-februari-2023)"
HBA,2023-03,283.08,"Kepmen ESDM 41.K/MB.01/MEM.B/2023"
HBA,2023-04,265.26,"Kepmen ESDM 71.K/MB.01/MEM.B/2023"
HBA,2023-05,206.16,"Kepmen ESDM 84.K/MB.01/MEM.B/2023"
HBA,2023-06,191.26,"Kepmen ESDM 119.K/MB.01/MEM.B/2023"
HBA,2023-07,191.60,"Kepmen ESDM 183.K/MB.01/MEM.B/2023"
HBA,2023-08,179.90,"Kepmen ESDM 245.K/MB.01/MEM.B/2023"
HBA,2023-09,133.13,"Kepmen ESDM 290.K/MB.01/MEM.B/2023"
HBA,2023-10,123.96,"Kepmen ESDM 335.K/MB.01/MEM.B/2023"
HBA,2023-11,139.80,"ESDM via Bisnis.com · Databoks (+12.77% m/m)"
HBA,2023-12,117.38,"Kepmen ESDM 447.K/MB.01/MEM.B/2023"
HBA,2024-01,125.85,"Kepmen ESDM 8.K/MB.01/MEM.B/2024"
HBA,2024-02,124.95,"ESDM via CNBC Indonesia"
HBA,2024-03,109.77,"Kepmen ESDM 61.K/MB.01/MEM.B/2024"
HBA,2024-04,121.13,"Kepmen ESDM 88.K/MB.01/MEM.B/2024"
HBA,2024-05,114.06,"Kepmen ESDM 112.K/MB.01/MEM.B/2024"
HBA,2024-06,123.00,"Kepmen ESDM 131.K/MB.01/MEM.B/2024"
HBA,2024-07,130.44,"Kepmen ESDM 166.K/MB.03/MEM.B/2024"
HBA,2024-08,115.29,"Kepmen ESDM 195.K/MB.01/MEM.B/2024"
HBA,2024-09,125.15,"ESDM 보도자료 (Sep/Oct 2024)"
HBA,2024-10,131.17,"ESDM 보도자료 (hba-hma-oktober-2024)"
HBA,2024-11,114.43,"Kepmen ESDM 301.K/MB.01/MEM.B/2024"
HBA,2024-12,122.51,"ESDM via CNBC Indonesia"
HBA,2025-01,124.01,"Kepmen ESDM 21.K/MB.01/MEM.B/2025 (월 1회 고시)"
HBA,2025-02,124.24,"Kepmen ESDM 67.K/MB.01/MEM.B/2025 (월 1회 고시)"
HBA,2025-03,117.76,"2기 Kepmen ESDM 92.K/MB.01/MEM.B/2025"
HBA,2025-04,120.20,"2기 ESDM 보도자료"
HBA,2025-05,110.38,"2기 Kepmen ESDM 175.K/MB.01/MEM.B/2025"
HBA,2025-06,98.61,"2기 ESDM minerba · DDTC"
HBA,2025-07,97.65,"2기 via DDTC"
HBA,2025-08,100.69,"2기 via DDTC"
HBA,2025-09,103.49,"2기 via Bisnis.com"
HBA,2025-10,109.74,"2기 via Katadata"
HBA,2025-11,102.03,"2기 Kepmen ESDM 365.K/MB.01/MEM.B/2025"
HBA,2025-12,100.81,"2기 Kepmen ESDM 420.K/MB.01/MEM.B/2025"
HBA,2026-01,104.03,"2기 Kepmen ESDM 12.K/MB.01/MEM.B/2026"
HBA,2026-02,102.87,"2기 via CNBC Indonesia"
HBA,2026-03,103.01,"2기 via IMA"
HBA,2026-04,103.43,"2기 via DDTC"
HBA,2026-05,116.32,"2기 Kepmen ESDM 204.K/MB.01/MEM.B/2026"
