series,month,value,source
idn_pmi,2021-09,52.2,"take-profit.org PMI history (release 2021-10-01)"
idn_pmi,2021-10,57.2,"Trading Economics · Databoks (역대 최고치)"
idn_pmi,2021-11,53.9,"Databoks (ASEAN 최고 확장)"
idn_pmi,2021-12,53.5,"Jakarta Globe / IHS Markit press"
idn_pmi,2022-01,53.7,"take-profit.org · Databoks"
idn_pmi,2022-02,51.2,"take-profit.org · Databoks"
idn_pmi,2022-03,51.3,"take-profit.org PMI history"
idn_pmi,2022-04,51.9,"take-profit.org · Databoks"
idn_pmi,2022-05,50.8,"take-profit.org PMI history"
idn_pmi,2022-06,50.2,"take-profit.org PMI history"
idn_pmi,2022-07,51.3,"take-profit.org PMI history"
idn_pmi,2022-08,51.7,"take-profit.org PMI history"
idn_pmi,2022-09,53.7,"take-profit.org PMI history"
idn_pmi,2022-10,51.8,"take-profit.org PMI history"
idn_pmi,2022-11,50.3,"take-profit.org PMI history"
idn_pmi,2022-12,50.9,"take-profit.org PMI history"
idn_pmi,2023-01,51.3,"take-profit.org PMI history"
idn_pmi,2023-02,51.2,"take-profit.org PMI history"
idn_pmi,2023-03,51.9,"take-profit.org · Databoks"
idn_pmi,2023-04,52.7,"take-profit.org · Databoks"
idn_pmi,2023-05,50.3,"take-profit.org PMI history"
idn_pmi,2023-06,52.5,"take-profit.org · Databoks"
idn_pmi,2023-07,53.3,"take-profit.org PMI history"
idn_pmi,2023-08,53.9,"take-profit.org PMI history"
idn_pmi,2023-09,52.3,"take-profit.org PMI history"
idn_pmi,2023-10,51.5,"ANTARA (Okt 2023 51,5)"
idn_pmi,2023-11,51.7,"Databoks (Nov 51,7)"
idn_pmi,2023-12,52.2,"Databoks (Des 52,2)"
idn_pmi,2024-01,52.9,"Databoks (Jan 52,9)"
idn_pmi,2024-02,52.7,"ANTARA/Databoks (Mar 비교치)"
idn_pmi,2024-03,54.2,"ANTARA (2.5년 최고)"
idn_pmi,2024-04,52.9,"Databoks (Eid 연휴 둔화)"
idn_pmi,2024-05,52.1,"CNBC Indonesia"
idn_pmi,2024-06,50.7,"Bisnis.com"
idn_pmi,2024-07,49.3,"Kontan (2021-08 이후 첫 수축)"
idn_pmi,2024-08,48.9,"Bisnis.com"
idn_pmi,2024-09,49.2,"Bisnis.com"
idn_pmi,2024-10,49.2,"Dataindonesia · Kompas"
idn_pmi,2024-11,49.6,"Kontan (Des 비교치)"
idn_pmi,2024-12,51.2,"Kontan"
idn_pmi,2025-01,51.9,"Investing.com event 1096 history"
idn_pmi,2025-02,53.6,"Investing.com event 1096 history"
idn_pmi,2025-03,52.4,"Investing.com event 1096 history"
idn_pmi,2025-04,46.7,"Investing.com event 1096 history"
idn_pmi,2025-05,47.4,"Investing.com event 1096 history"
idn_pmi,2025-06,46.9,"Investing.com event 1096 history"
